file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0399_0145_883588_to_885581,ད་ལོའི་ལོ་གསར་འདི་ ,da lo'i lo gsar 'di _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0399_0145_883588_to_885581.wav,STT_MV,2,19,1.993,wav16k/STT_MV0399_0145_883588_to_885581.wav,ད་ལོ་ལོ་གསར་དི་
STT_MV0399_0146_885581_to_895570,ཕ་མ་དང་མཉམ་དུ་སྐྱིད་པོ་གཅིག་གཏང་གི་ཡིན་ད་ མ་རེད་པེ་ ཨ་ཙི་ ངས་བཤད་བཤད་བཤད་ སྨན་རིན་ལེན་ཡ་བརྗེད་པ་རེད་། ཝ་ཡེ། སྤོ་ལགས། སྤོ་ལགས།  ,pha ma dang mnyam du skyid po gcig gtang gi yin da _ma red pe _a tsi _ngas bshad bshad bshad _sman rin len ya brjed pa red /_wa ye/_spo lags/_spo lags/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0399_0146_885581_to_895570.wav,STT_MV,2,127,9.989,wav16k/STT_MV0399_0146_885581_to_895570.wav,ཕ་མ་དང་མཉམ་དུ་སྐྱིད་པོ་ཅིག་གཏང་གི་ཡིན་ད། མ་རེད་པེ། ཨོ་ཙི། མི་བཤད་བཤད་བཤས་སྨན་རིན་ལེན་ཡ་བརྗེད་པ་རེད། ཝེ་སྤོ་ལགས། ཝེ། སྤོ་ལགས།
STT_MV0400_0000_0_to_2843,ཨ་མ་ཚར་བྲོར་ཡོད་པེ། འོ་ཡོད་ཡོད།  ,a ma tshar bror yod pe/_'o yod yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0400_0000_0_to_2843.wav,STT_MV,2,33,2.843,wav16k/STT_MV0400_0000_0_to_2843.wav,ཨ་མ་ཚར་བྲོར་ཡོད་པེ། འོ་ཡོད་ཡོད།
STT_MV0400_0001_2843_to_12768,ཨ་མ་ལགས་མགྱོགས་སེ་གྱིས་ད། ལྟོགས་བྱས་ཤི་བྲོར་བྱེད་ཀིས། ཨོ་ཙི་ད། འོ་ད་སྐད་དེ་གས་མ་རྒྱག་ད། ད་ག་ར་བོ་ད། ལོ་གཅིག་ཙི་ལྟོགས་པར་བཞག་པའི་སྐད་ཙི་ཞིག་མ་རྒྱག་ད་ཨུ་གོ ཁྱེད་རང་གཉིས་ནི། ང་ནི་མི་དགོས།  ,a ma lags mgyogs se gyis da/_ltogs byas shi bror byed kis/_o tsi da/_'o da skad de gas ma rgyag da/_da ga ra bo da/_lo gcig tsi ltogs par bzhag pa'i skad tsi zhig ma rgyag da u go_khyed rang gnyis ni/_nga ni mi dgos/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0400_0001_2843_to_12768.wav,STT_MV,2,186,9.925,wav16k/STT_MV0400_0001_2843_to_12768.wav,ཨ་མ་ལགས་ད་འགྱོད་པ་གཅིག་ད་ལྟོགས་བྱས་ཤི་བྲོར་བྱེད་ཀི། འོ། སྐད་འདི་གས་ཙི་མ་བརྒྱབ་ཨ་། ད་ག་ར་བོ་ད། ལོ་གཅིག་ཙི་ིག་ལྟོགས་པར་བཞག་པའི་སྐད་ཙི་ཅིག་མ་བརྒྱབ་ད་གོ ཁྱེད་རང་གཉིས་ནི། ད་ན་མི་དགོས།
STT_MV0400_0002_15072_to_24424,འ་ཡེ་ཀྱེ། ཡ། འདིར་པཱ་ལགས། ཨ། འདིར་སྒེར་གི་བོད་ཟས་གནག་པོ་ཞེ་བོ་བཙུགས་འདུག་ག འདིར། ངས་བར་རུ་གཅིག་ལ་ཟ་ག་ཁྲིད་དགོས་ཨ། འདིར།  ,'a ye kye/_ya/_'dir pA lags/_a/_'dir sger gi bod zas gnag po zhe bo btsugs 'dug ga_'dir/_ngas bar ru gcig la za ga khrid dgos a/_'dir/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0400_0002_15072_to_24424.wav,STT_MV,2,121,9.352,wav16k/STT_MV0400_0002_15072_to_24424.wav,འོ་ཀྱེ། ཡ། འདིར། པ་ལགས། ཨ། འདི་སྒེར་གི་བོད་ཟས་དེ་གནག་པོ་ཞེ་བོ་གཅིག་བཙུགས་འདུག་ག་འདི། འདི། ངས་བར་རུ་གཅིག་ཟ་ག་ཁྲིད་དགོས་ཨ་འདི།
STT_MV0400_0003_24424_to_31699,ཨ་མ་ལགས། སུར་པན་ཡོད་རེད་པེ། སུར་པན་ཨེ། འོ། ཡོད་ཡོད།  ,a ma lags/_sur pan yod red pe/_sur pan e/_'o/_yod yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0400_0003_24424_to_31699.wav,STT_MV,2,53,7.275,wav16k/STT_MV0400_0003_24424_to_31699.wav,ཨ་མ་ལགས་སི་པན་ཡོད་རེད་པེ། སི་པན་ཨེ། འོ། ཡོད་ཡོད་ཡོད།
STT_MV0400_0018_123861_to_125018,ད་མོག་མོག་ཟ་གི་མིན་པེ།  ,da mog mog za gi min pe/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0400_0018_123861_to_125018.wav,STT_MV,2,24,1.157,wav16k/STT_MV0400_0018_123861_to_125018.wav,ད་མོ་ཟེར་ཡིན་པེ།
STT_MV0400_0020_144167_to_149343,ཡ། ཨ་མ་སྒོ་ཕྱེས་ཤོག་ད།  ,ya/_a ma sgo phyes shog da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0400_0020_144167_to_149343.wav,STT_MV,2,24,5.176,wav16k/STT_MV0400_0020_144167_to_149343.wav,ཡ། མ་སྒོ་ཕྱེས་ཤོག་ད།
STT_MV0400_0021_153674_to_162882,ལ། བུ་མོ་རང་། ཉིད་རང་ཨ་མ་ཉིན་མ་ལགས་སྦ། ཡིན།  ,la/_bu mo rang /_nyid rang a ma nyin ma lags sba/_yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0400_0021_153674_to_162882.wav,STT_MV,2,45,9.208,wav16k/STT_MV0400_0021_153674_to_162882.wav,ཧལགས། བུ་མོ་རང་། ཉིད་རང་ཨ་མ་ཉི་མ་ལགས་པ། ཡིན།
STT_MV0400_0022_162882_to_166614,ཁྱེད་རང་པ་བཀྲ་ཤིས་ལགས་ཡིན་གྱི་སྦེ་ལ། འོ་ཡིན་ཡིན།  ,khyed rang pa bkra shis lags yin gyi sbe la/_'o yin yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0400_0022_162882_to_166614.wav,STT_MV,2,50,3.732,wav16k/STT_MV0400_0022_162882_to_166614.wav,ཁྱེད་རང་པ་བཀྲ་ཤིས་ལགས་ཡིན་གྱི་པེ་ལག། འོ་ཡིན་ཡིན།
